epoch: train_acc0 train_acc1 train_acc2 / test_acc0 test_acc1 test_acc2 / pure_ratio0 pure_ratio1 pure_ratio2 
122: 59.15464743589744 59.1005608974359 59.07051282051282 / 74.1386217948718 74.1386217948718 74.80969551282051 / 86.54647827148438 86.53445434570312 86.51042175292969
123: 59.162660256410255 59.09855769230769 59.12259615384615 / 73.96834935897436 74.7295673076923 73.71794871794872 / 86.46634674072266 86.42628479003906 86.62259674072266
124: 59.18269230769231 59.142628205128204 59.20272435897436 / 73.92828525641026 73.59775641025641 73.87820512820512 / 86.39022827148438 86.46634674072266 86.41426849365234
125: 59.20873397435897 59.172676282051285 59.23076923076923 / 73.85817307692308 74.3389423076923 73.42748397435898 / 86.34214782714844 86.4783706665039 86.29006958007812
126: 59.12860576923077 59.10657051282051 59.14663461538461 / 74.24879807692308 74.38902243589743 73.87820512820512 / 86.2059326171875 86.13381958007812 86.27003479003906
127: 59.13461538461539 59.240785256410255 59.19070512820513 / 73.49759615384616 74.22876602564102 73.93830128205128 / 86.44231414794922 86.2019271850586 86.2459945678711
128: 59.274839743589745 59.21274038461539 59.29086538461539 / 73.64783653846153 74.45913461538461 74.609375 / 86.43830108642578 86.37019348144531 86.34214782714844
129: 59.39102564102564 59.31089743589744 59.31690705128205 / 74.02844551282051 73.72796474358974 74.10857371794872 / 86.474365234375 86.49839782714844 86.39823913574219
130: 59.220753205128204 59.30889423076923 59.36498397435897 / 73.71794871794872 74.44911858974359 73.68790064102564 / 86.47035217285156 86.5184326171875 86.41426849365234
131: 59.28285256410256 59.33894230769231 59.31290064102564 / 74.04847756410257 74.40905448717949 74.06850961538461 / 86.37419891357422 86.37419891357422 86.30609130859375
132: 59.35496794871795 59.25480769230769 59.30689102564103 / 74.14863782051282 74.54927884615384 73.87820512820512 / 86.2019271850586 86.14183044433594 86.16987609863281
133: 59.38902243589744 59.36097756410256 59.34695512820513 / 73.75801282051282 74.47916666666667 73.54767628205128 / 86.22596740722656 86.17788696289062 86.17388153076172
134: 59.36097756410256 59.41105769230769 59.4130608974359 / 73.93830128205128 74.39903846153847 73.72796474358974 / 86.14583587646484 86.15384674072266 86.08173370361328
135: 59.427083333333336 59.46514423076923 59.34695512820513 / 74.11858974358974 74.32892628205128 73.46754807692308 / 86.15785217285156 86.23397827148438 86.2059326171875
136: 59.36698717948718 59.48717948717949 59.44911858974359 / 74.0985576923077 74.59935897435898 74.16866987179488 / 86.07372283935547 86.07372283935547 86.06169891357422
137: 59.46314102564103 59.54326923076923 59.50120192307692 / 74.08854166666667 73.87820512820512 73.96834935897436 / 86.0897445678711 86.16987609863281 86.27003479003906
138: 59.42908653846154 59.44310897435897 59.48717948717949 / 74.18870192307692 74.62940705128206 73.33733974358974 / 86.08573913574219 86.18990325927734 86.18589782714844
139: 59.43509615384615 59.499198717948715 59.54927884615385 / 73.3974358974359 74.06850961538461 73.59775641025641 / 86.21794891357422 86.19792175292969 86.09375
140: 59.48918269230769 59.47716346153846 59.54126602564103 / 74.01842948717949 74.10857371794872 74.30889423076923 / 85.95352935791016 86.05769348144531 86.07372283935547
141: 59.51121794871795 59.50120192307692 59.59334935897436 / 73.81810897435898 74.4891826923077 74.55929487179488 / 86.0977554321289 86.17388153076172 86.21794891357422
142: 59.55128205128205 59.58133012820513 59.553285256410255 / 74.0985576923077 73.59775641025641 73.73798076923077 / 86.02564239501953 86.14984130859375 86.08173370361328
143: 59.62139423076923 59.635416666666664 59.611378205128204 / 73.84815705128206 73.9082532051282 73.65785256410257 / 85.81330108642578 85.78926849365234 85.78926849365234
144: 59.63741987179487 59.61538461538461 59.635416666666664 / 73.7880608974359 74.32892628205128 73.69791666666667 / 85.9334945678711 85.80929565429688 85.97356414794922
145: 59.64342948717949 59.62339743589744 59.655448717948715 / 74.54927884615384 74.34895833333333 74.23878205128206 / 86.11779022216797 86.0096206665039 85.8934326171875
146: 59.685496794871796 59.607371794871796 59.6875 / 72.65625 73.45753205128206 73.42748397435898 / 85.96554565429688 85.81731414794922 85.78125
147: 59.70352564102564 59.65945512820513 59.763621794871796 / 73.92828525641026 74.07852564102564 73.92828525641026 / 85.95352935791016 85.7772445678711 85.81330108642578
148: 59.6875 59.733573717948715 59.685496794871796 / 73.79807692307692 74.31891025641026 73.7079326923077 / 86.0096206665039 85.75320434570312 85.98958587646484
149: 59.64543269230769 59.70552884615385 59.71754807692308 / 74.01842948717949 74.11858974358974 73.93830128205128 / 85.96154022216797 85.83333587646484 86.04167175292969
150: 59.73557692307692 59.73758012820513 59.76963141025641 / 73.52764423076923 73.66786858974359 73.67788461538461 / 85.95352935791016 85.8974380493164 85.9375
151: 59.719551282051285 59.74158653846154 59.72355769230769 / 73.67788461538461 74.22876602564102 74.04847756410257 / 86.10176849365234 85.82933044433594 85.97756958007812
152: 59.71754807692308 59.765625 59.74959935897436 / 73.83814102564102 74.23878205128206 74.30889423076923 / 85.9415054321289 86.0977554321289 85.97756958007812
153: 59.79366987179487 59.78165064102564 59.81971153846154 / 73.64783653846153 74.42908653846153 73.59775641025641 / 85.87740325927734 85.80929565429688 85.86939239501953
154: 59.81370192307692 59.80168269230769 59.77964743589744 / 73.50761217948718 73.96834935897436 74.01842948717949 / 85.68509674072266 85.87339782714844 85.74919891357422
155: 59.84775641025641 59.80168269230769 59.84375 / 73.11698717948718 73.59775641025641 73.09695512820512 / 85.59294891357422 85.76122283935547 85.59695434570312
156: 59.973958333333336 59.889823717948715 59.9599358974359 / 74.39903846153847 74.76963141025641 73.98838141025641 / 85.8533706665039 85.68109130859375 85.66106414794922
157: 59.923878205128204 59.90584935897436 59.889823717948715 / 73.52764423076923 74.00841346153847 74.2588141025641 / 85.84535217285156 85.7411880493164 85.75320434570312
158: 59.90584935897436 59.90985576923077 59.95192307692308 / 74.01842948717949 74.35897435897436 73.89823717948718 / 85.8533706665039 85.71714782714844 85.6209945678711
159: 59.90985576923077 59.8818108974359 59.923878205128204 / 73.14703525641026 74.11858974358974 73.59775641025641 / 85.86138153076172 85.72917175292969 85.74919891357422
160: 59.91786858974359 59.90785256410256 59.90384615384615 / 74.08854166666667 73.30729166666667 73.10697115384616 / 85.34856414794922 85.4246826171875 85.4647445678711
161: 59.9619391025641 59.9619391025641 60.01402243589744 / 73.97836538461539 74.0985576923077 73.57772435897436 / 85.7331771850586 85.66106414794922 85.693115234375
162: 59.98998397435897 59.98597756410256 60.02403846153846 / 74.20873397435898 73.8681891025641 73.93830128205128 / 85.50881958007812 85.61698913574219 85.67308044433594
163: 60.046073717948715 60.03405448717949 60.06209935897436 / 73.63782051282051 73.93830128205128 74.16866987179488 / 85.64904022216797 85.6290054321289 85.66506958007812
164: 60.05008012820513 60.02804487179487 60.04206730769231 / 74.16866987179488 73.88822115384616 74.16866987179488 / 85.7852554321289 85.75320434570312 85.70112609863281
165: 60.052083333333336 60.06610576923077 60.07411858974359 / 73.80809294871794 74.18870192307692 73.9082532051282 / 85.85737609863281 85.86538696289062 85.79327392578125
166: 60.046073717948715 60.08613782051282 60.100160256410255 / 74.4891826923077 74.59935897435898 73.93830128205128 / 85.86538696289062 85.91346740722656 85.70513153076172
